STATE,TIME,MEMORY,DISTANCE
RI,3.12923E-4,112966.25,309166.85644324194
RI,2.9152400000000004E-4,112606.265625,309166.85644324194
RI,2.8588800000000004E-4,34791.703125,281553.677709952
RI,2.89412E-4,34402.875,283846.665978712
RI,4.2296200000000003E-4,34261.9609375,283846.665978712
RI,4.13933E-4,34261.9375,309166.85644324205
RI,4.77328E-4,34261.9375,321427.68933745194
RI,2.9710500000000004E-4,34261.9609375,313609.48781259195
RI,2.9151400000000004E-4,34261.9609375,321743.55224148196
RI,3.04964E-4,34261.9375,301140.4261907619
RI,2.90985E-4,34261.9375,283846.665978712
RI,4.7373900000000004E-4,34261.9609375,283846.665978712
RI,2.9623400000000004E-4,34261.9609375,301140.426190762
RI,2.91623E-4,34261.9375,298930.962632412
RI,3.41765E-4,34261.9375,345065.241140512
RI,4.36002E-4,34261.9375,309166.85644324194
RI,4.39315E-4,34261.9375,321809.65084774204
RI,4.70546E-4,34261.9375,309166.856443242
RI,4.45987E-4,34261.9375,281553.677709952
RI,4.60992E-4,34261.9375,301140.42619075195
RI,4.47925E-4,34261.9375,283846.665978712
RI,4.648E-4,34261.9296875,309166.85644324194
RI,3.48424E-4,34261.9375,301140.426190762
RI,5.64368E-4,34261.9375,321743.55224148196
RI,1.95966E-4,34261.9375,283846.66597871203
RI,1.1271700000000001E-4,34261.9609375,283846.665978712
RI,1.1101100000000001E-4,34261.9609375,301140.42619075195
RI,1.1298700000000001E-4,34261.9609375,311289.997179362
RI,1.72597E-4,34261.9375,281553.677709952
RI,1.5058200000000002E-4,34261.9609375,283846.665978712
RI,1.1361300000000001E-4,34261.9609375,283846.66597871203
RI,1.72924E-4,34261.9375,283846.665978712
RI,1.1384100000000001E-4,34261.9609375,309166.85644324205
RI,1.6376200000000002E-4,34261.9609375,301140.4261907619
RI,1.13783E-4,34261.9375,283846.66597871203
RI,1.12275E-4,34261.9375,283846.665978712
RI,1.5906900000000002E-4,34261.9609375,313609.48781259195
RI,1.57935E-4,34261.9375,283846.66597871203
RI,1.5611000000000002E-4,34261.9609375,283846.665978712
RI,1.61978E-4,34261.9375,308363.47575918207
RI,1.5201800000000002E-4,34261.9609375,321743.55224148196
RI,1.58321E-4,34261.9375,301140.42619075195
RI,3.89489E-4,34261.9375,309166.85644324194
RI,1.60754E-4,34261.9375,281553.677709952
RI,1.5058900000000002E-4,34261.9609375,309742.09118363203
RI,1.5924300000000002E-4,34261.9609375,309166.85644324194
RI,1.12354E-4,34261.9375,283846.66597871203
RI,1.1405800000000001E-4,34261.9609375,281553.677709952
RI,1.1385E-4,34261.9375,309166.85644324194
RI,1.1494700000000001E-4,34261.9609375,345065.241140512
RI,1.1424900000000001E-4,34261.9609375,309166.856443242
RI,1.83549E-4,34261.9375,283846.665978712
RI,1.5146500000000001E-4,34261.9609375,321427.68933745194
RI,1.3796700000000002E-4,34261.9609375,321809.65084774204
RI,1.1323400000000001E-4,34261.9609375,321743.55224148196
RI,1.1865100000000001E-4,34261.9609375,313609.48781259195
RI,9.164700000000001E-5,34262.0,301140.426190762
RI,9.701200000000001E-5,34271.625,313609.48781259195
RI,9.465600000000001E-5,34273.734375,321809.65084774204
RI,1.28882E-4,34323.921875,283846.665978712
RI,1.3304700000000002E-4,34270.6953125,301140.426190762
RI,1.0301E-4,34280.6328125,345065.241140512
RI,9.5122E-5,34280.90625,309742.09118363203
RI,9.377700000000001E-5,34275.890625,283846.665978712
RI,9.4812E-5,4233.28125,283846.66597871203
RI,2.1413400000000002E-4,3511.453125,309166.85644324194
RI,2.1718600000000002E-4,3511.453125,311289.997179362
RI,2.15262E-4,3511.4296875,309166.85644324205
RI,2.2656300000000002E-4,3511.453125,321743.55224148196
RI,1.16695E-4,3511.4296875,321743.552241552
RI,2.1194400000000002E-4,3511.453125,281553.677709952
RI,9.2396E-5,3511.4296875,283846.665978712
RI,9.4398E-5,3511.4296875,298930.962632412
RI,1.4435200000000002E-4,3511.453125,313609.48781259195
RI,9.429200000000001E-5,3511.4453125,283846.665978712
RI,9.0622E-5,3511.4296875,281553.677709952
RI,9.2775E-5,3511.4296875,301140.42619075195
RI,9.3412E-5,3511.4296875,283846.665978712
RI,9.156000000000001E-5,3511.4453125,301140.426190762
RI,9.327200000000001E-5,3511.4453125,321427.68933745194
RI,9.202800000000001E-5,3511.4453125,283846.665978712
RI,9.531100000000001E-5,3511.4453125,283846.66597871203
RI,1.24809E-4,3511.4296875,309166.85644324194
RI,9.3084E-5,3511.4296875,309166.85644324194
RI,9.3443E-5,3511.4296875,345065.241140512
RI,2.2806800000000003E-4,3511.453125,283846.665978712
RI,9.442800000000001E-5,3511.4453125,308363.47575918207
RI,9.0766E-5,3511.4296875,311289.997179362
RI,9.302300000000001E-5,3511.4453125,301140.42619075195
RI,1.72435E-4,3511.4296875,309166.85644324194
RI,9.134400000000001E-5,3511.4453125,309166.85644324194
RI,8.5735E-5,3511.4296875,321427.68933745194
RI,2.1183400000000002E-4,3511.453125,283846.665978712
RI,2.1242100000000002E-4,3511.453125,283846.665978712
RI,8.6054E-5,3511.4296875,283846.665978712
RI,9.2287E-5,3511.4296875,309166.85644324194
RI,8.442000000000001E-5,3511.4453125,309166.85644324194
RI,1.97407E-4,3511.4296875,309166.856443242
RI,8.6196E-5,3511.4296875,301140.42619075195
RI,8.4831E-5,3511.4296875,309166.856443242
AVG-RI,1.9316898000000003E-4,24777.61453125,302237.64394817053,
DE,0.0013298650000000002,83656.96875,756995.4045679672
DE,0.001100986,4797.46875,766938.2335001371
DE,0.0010551550000000001,4797.4921875,777589.0441462673
DE,0.002654617,4797.46875,779533.0361368671
DE,0.0010208390000000002,4797.4921875,791262.1618521673
DE,0.001010028,4797.46875,813936.8319451873
DE,0.0010941310000000001,4797.4921875,756995.4045679672
DE,0.0015777010000000001,4797.4921875,766198.8635914773
DE,0.001665894,4797.46875,766938.2335001371
DE,0.001045724,4797.46875,768744.2236198672
DE,0.001000545,4797.46875,791262.1618521673
DE,0.00213744,4797.46875,798193.0742301075
DE,0.001029009,4797.46875,756616.2455850373
DE,0.001240851,4797.46875,778496.2165819975
DE,0.0010760680000000001,4797.4921875,766938.2335001371
DE,0.002590862,4797.46875,784924.6407729972
DE,0.0010309730000000001,4797.4921875,777331.4333244275
DE,0.0011473710000000001,4797.4921875,782255.3024040173
DE,0.00111804,4797.46875,784078.2303159573
DE,0.0026605540000000003,4797.4921875,796281.8963164674
DE,0.0026136230000000002,4797.4921875,759757.7760449674
DE,0.001030811,4797.46875,797067.0631568785
DE,0.0010253620000000001,4797.4921875,766198.8635911371
DE,0.002092264,4797.46875,766198.8635912671
DE,0.001114809,4797.46875,759548.2320509573
DE,0.002565925,4797.46875,784924.6407729972
DE,0.002216005,4797.46875,796281.8963163474
DE,0.002363062,4797.46875,785428.7710583672
