SOLVER NUMBER,STATE,NUM CITIES,TIME,MEMORY,DISTANCE,,,,
4,RI,27,0.014277968,82068.734375,302655.242440142,,,,
4,RI,27,0.011291587,2811.765625,310618.291858542,,,,
4,RI,27,0.007166985,2811.78125,321388.647341502,,,,
4,RI,27,0.010512338,2812.0078125,318559.786577502,,,,
4,RI,27,0.008240394,2811.9921875,303933.687178282,,,,
4,RI,27,0.004533604,2812.1015625,304947.245058142,,,,
4,RI,27,0.003322694,2812.1484375,308008.948593262,,,T-TESTS,
4,RI,27,0.001845271,2812.4921875,317126.347771342,,DISTANCE,TIME,MEMORY
4,RI,27,0.003161276,2812.4921875,321388.647341502,,4vs,4vs,4vs
4,RI,27,0.001878173,2812.515625,298588.101591442,,2.16932652397873E-056,1.21520517848837E-037,0.2838294766
4,RI,27,0.001844028,2812.5625,318559.786577502,,0.1803993292,0.2302671722,0.2354661387
4,RI,27,0.003912825,2812.5390625,321388.647341502,,1.78251228944284E-006,5.00931027244448E-054,4.6491821954308E-005
4,RI,27,0.001859282,2812.5390625,304928.478056642,,0.1589194135,9.45743003096538E-053,2.64266133413339E-008
4,RI,27,0.001842673,2812.5625,303972.035539412,,3vs,3vs,3vs
4,RI,27,0.004947898,2812.5390625,298588.101591442,,2.16932652397873E-056,1.21520517848837E-037,0.2838294766
4,RI,27,0.005776801,2812.5546875,303972.035539412,,5.88079358402524E-056,1.54583122645977E-040,0.0969469123
4,RI,27,0.002703349,2812.5625,298965.243551412,,4.25274306963372E-042,2.31230144830506E-023,4.47170148205482E-006
4,RI,27,0.002537581,2812.5390625,315542.551773512,,7.06126299163191E-056,5.10450771391785E-079,8.61435084747085E-010
4,RI,27,0.003137626,2812.5390625,327061.41873675,,2vs,2vs,2vs
4,RI,27,0.001904981,2812.5390625,298588.101591442,,0.1803993292,0.2302671722,0.2354661387
4,RI,27,0.001812368,2812.5625,315542.551773512,,5.88079358402524E-056,1.54583122645977E-040,0.0969469123
4,RI,27,0.002135717,2812.5390625,323524.955289612,,0.0001384551,7.91750148173179E-056,0.0005136968
