ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_Leng
1,Woonsocket - Woonsocket,2152,1,1,      0.00000000000
2,Woonsocket - Cumberland Hill,2152,2,2,   6357.33621888000
3,Woonsocket - Valley Falls,2152,3,3,  12251.01181860000
4,Woonsocket - Harrisville,2152,4,4,  16295.33445180000
5,Woonsocket - Greenville,2152,9,5,  17292.10843510000
6,Woonsocket - Providence,2152,12,6,  19078.35596800000
7,Woonsocket - North Providence,2152,8,7,  20591.52426410000
8,Woonsocket - Harmony,2152,10,8,  20843.52607850000
9,Woonsocket - Pawtucket,2152,6,9,  23013.43815670000
10,Woonsocket - Pascoag,2152,7,10,  23169.82190180000
11,Woonsocket - Central Falls,2152,5,11,  23301.05552690000
12,Woonsocket - Cranston,2152,13,12,  24294.25231550000
13,Woonsocket - Warwick,2152,17,13,  30254.64108100000
14,Woonsocket - East Providence,2152,11,14,  32322.06355700000
15,Woonsocket - West Warwick,2152,18,15,  39043.89061040000
16,Woonsocket - Barrington,2152,14,16,  42100.63260110000
17,Woonsocket - East Greenwich,2152,19,17,  43867.70925820000
18,Woonsocket - Bristol,2152,15,18,  51159.89422800000
19,Woonsocket - Tiverton,2152,16,19,  65105.16217300000
20,Woonsocket - Wakefield,2152,24,20,  65988.82395500000
21,Woonsocket - Kingston,2152,22,21,  67750.69804240001
22,Woonsocket - Hope Valley,2152,23,22,  67797.67010680000
23,Woonsocket - West Kingston,2152,21,23,  68789.30255640000
24,Woonsocket - Newport,2152,20,24,  71306.29470400000
25,Woonsocket - Ashaway,2152,25,25,  77941.30168020001
26,Woonsocket - Westerly,2152,27,26,  88793.89231480000
27,Woonsocket - Bradford,2152,26,27,  91209.86060669999
28,Cumberland Hill - Cumberland Hill,2153,2,1,      0.00000000000
29,Cumberland Hill - Valley Falls,2153,3,2,   5893.67559974000
30,Cumberland Hill - Woonsocket,2153,1,3,   6357.33621888000
31,Cumberland Hill - Greenville,2153,9,4,  13969.32089370000
32,Cumberland Hill - Providence,2153,12,5,  15755.56842670000
33,Cumberland Hill - North Providence,2153,8,6,  17268.73672270000
34,Cumberland Hill - Harmony,2153,10,7,  17520.73853720000
35,Cumberland Hill - Pawtucket,2153,6,8,  19690.65061540000
36,Cumberland Hill - Central Falls,2153,5,9,  19978.26798560000
37,Cumberland Hill - Cranston,2153,13,10,  20971.46477420000
38,Cumberland Hill - Harrisville,2153,4,11,  22652.67067070000
39,Cumberland Hill - Warwick,2153,17,12,  26931.85353960000
40,Cumberland Hill - Pascoag,2153,7,13,  27528.59670380000
41,Cumberland Hill - East Providence,2153,11,14,  28999.27601560000
42,Cumberland Hill - West Warwick,2153,18,15,  35721.10306900000
43,Cumberland Hill - Barrington,2153,14,16,  38777.84505980000
44,Cumberland Hill - East Greenwich,2153,19,17,  40544.92171690000
45,Cumberland Hill - Bristol,2153,15,18,  47837.10668660000
46,Cumberland Hill - Tiverton,2153,16,19,  61782.37463160000
47,Cumberland Hill - Wakefield,2153,24,20,  62666.03641370000
48,Cumberland Hill - Kingston,2153,22,21,  64427.91050110000
49,Cumberland Hill - Hope Valley,2153,23,22,  64474.88256550000
50,Cumberland Hill - West Kingston,2153,21,23,  65466.51501500000
51,Cumberland Hill - Newport,2153,20,24,  67983.50716260000
52,Cumberland Hill - Ashaway,2153,25,25,  74618.51413880000
53,Cumberland Hill - Westerly,2153,27,26,  85471.10477340000
54,Cumberland Hill - Bradford,2153,26,27,  87887.07306530001
55,Valley Falls - Valley Falls,2154,3,1,      0.00000000000
56,Valley Falls - Cumberland Hill,2154,2,2,   5893.67559974000
57,Valley Falls - Woonsocket,2154,1,3,  12251.01181860000
58,Valley Falls - Central Falls,2154,5,4,  18073.65927650000
59,Valley Falls - Pawtucket,2154,6,5,  18361.27664670000
60,Valley Falls - Providence,2154,12,6,  19667.14840710000
61,Valley Falls - Greenville,2154,9,7,  19862.99649340000
62,Valley Falls - North Providence,2154,8,8,  21888.46409180000
63,Valley Falls - Harmony,2154,10,9,  23414.41413690000
64,Valley Falls - Cranston,2154,13,10,  24883.04475460000
65,Valley Falls - East Providence,2154,11,11,  25398.71878390000
66,Valley Falls - Harrisville,2154,4,12,  28546.34627040000
67,Valley Falls - Warwick,2154,17,13,  30843.43352010000
