ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_Leng
13829,Ardentown - Ardentown,1,89,1,      0.00000000000
13830,Ardentown - Arden,1,90,2,    255.00806533100
13831,Ardentown - Ardencroft,1,92,3,    863.82854395200
13832,Ardentown - Pennyhill,1,100,4,   4703.62627791000
13833,Ardentown - Claymont,1,91,5,   5201.72454337000
13834,Ardentown - Holly Oak,1,95,6,   7482.24444452000
13835,Ardentown - Wilmington,1,105,7,   8730.96832700000
13836,Ardentown - Fairfax,1,97,8,   9507.27856440000
13837,Ardentown - Rockland,1,96,9,  10462.86752100000
13838,Ardentown - Bellefonte,1,101,10,  11400.95647480000
13839,Ardentown - Montchanin,1,98,11,  11898.94754740000
13840,Ardentown - Edgemoor,1,102,12,  11901.54610570000
13841,Ardentown - Talleyville,1,93,13,  11944.53798750000
13842,Ardentown - Westover Hills,1,103,14,  12701.94786910000
13843,Ardentown - Elsmere,1,106,15,  15205.54786750000
13844,Ardentown - Newport,1,111,16,  15974.07530240000
13845,Ardentown - Wilmington Manor,1,115,17,  17013.81817100000
13846,Ardentown - Brookland Terrace,1,107,18,  17432.91503800000
13847,Ardentown - New Castle,1,117,19,  17806.85013760000
13848,Ardentown - Collins Park,1,114,20,  18714.37873440000
13849,Ardentown - Minquadale,1,108,21,  18849.62346450000
13850,Ardentown - Holloway Terrace,1,109,22,  19574.68460010000
13851,Ardentown - Stanton,1,113,23,  20187.11325620000
13852,Ardentown - Hockessin,1,104,24,  20315.50276670000
13853,Ardentown - Marshallton,1,110,25,  20637.10607140000
13854,Ardentown - Pleasantville,1,118,26,  21271.94463860000
13855,Ardentown - Christiana,1,119,27,  21972.00673060000
13856,Ardentown - Pike Creek,1,112,28,  24566.17894900000
13857,Ardentown - Delaware City,1,122,29,  26137.14292800000
13858,Ardentown - Centerville,1,94,30,  26254.68300930000
13859,Ardentown - Roseville Park,1,116,31,  26950.79076490000
13860,Ardentown - Newark,1,120,32,  30627.64669020000
13861,Ardentown - Brookside,1,121,33,  32231.01555650000
13862,Ardentown - Yorklyn,1,99,34,  32520.91960340000
13863,Ardentown - Odessa,1,123,35,  45504.68112430000
13864,Ardentown - Middletown,1,124,36,  50388.32316590000
13865,Ardentown - Townsend,1,125,37,  51500.95137760000
13866,Ardentown - Smyrna,1,126,38,  63548.27228420000
13867,Ardentown - Clayton,1,127,39,  67252.17821630000
13868,Ardentown - Cheswold,1,129,40,  72018.09273030001
13869,Ardentown - Kenton,1,130,41,  73916.69423220000
13870,Ardentown - Leipsic,1,128,42,  75623.60720410000
13871,Ardentown - Dover,1,132,43,  82230.45610680000
13872,Ardentown - Little Creek,1,131,44,  84430.47989730000
13873,Ardentown - Kent Acres,1,133,45,  84773.05286790000
13874,Ardentown - Lebanon,1,137,46,  86198.22699440000
13875,Ardentown - Hartly,1,134,47,  86254.81038890000
