STATE,TIME,MEMORY,DISTANCE
RI,0.001142596,82886.5078125,301140.426190762
RI,0.002073483,2794.2109375,309742.09118363203
RI,6.614860000000001E-4,2794.2734375,345065.241140512
RI,4.2752400000000004E-4,2794.34375,309742.09118363203
RI,4.5943800000000006E-4,2794.3984375,309166.85644324194
RI,8.315670000000001E-4,2794.390625,283846.665978712
RI,9.19675E-4,2794.375,301140.42619075195
RI,6.92599E-4,2794.375,281553.677709952
RI,9.70199E-4,2794.375,283846.665978712
RI,7.430840000000001E-4,2794.390625,301140.426190762
RI,8.62724E-4,2794.375,309166.856443242
RI,0.001070776,2794.375,309166.85644324194
RI,8.22502E-4,2794.375,283846.665978712
RI,3.7901700000000005E-4,2794.3984375,301140.426190762
RI,3.864E-4,2794.3671875,301140.426190762
RI,5.145200000000001E-4,2794.390625,345065.241140512
RI,4.0255200000000003E-4,2794.3984375,283846.665978712
RI,8.184300000000001E-4,2794.390625,321743.55224148196
RI,3.9119400000000004E-4,2794.3984375,321809.65084774204
RI,4.22819E-4,2794.375,309166.85644324205
RI,6.353390000000001E-4,2794.390625,301140.426190762
RI,7.353840000000001E-4,2794.390625,301140.42619075195
RI,3.4207700000000004E-4,2794.3984375,309166.856443242
RI,3.57628E-4,2794.375,313609.48781259195
RI,7.433580000000001E-4,2794.390625,321743.552241552
RI,4.33183E-4,2794.375,301140.4261907619
RI,5.59673E-4,2794.421875,309166.85644324194
RI,5.17471E-4,2794.53125,281553.677709952
RI,3.7080200000000005E-4,2794.5546875,283846.66597871203
RI,1.55276E-4,2794.53125,308363.47575918207
RI,1.2916000000000002E-4,2794.5546875,321809.65084774204
RI,2.7630600000000003E-4,2794.5546875,283846.665978712
RI,1.7187500000000002E-4,2794.5546875,301140.4261907619
RI,3.33646E-4,2794.53125,321809.65084774204
RI,1.39368E-4,2794.53125,311289.997179362
RI,1.41621E-4,2794.53125,301140.42619075195
RI,3.38471E-4,2794.53125,309166.85644324194
RI,1.3395800000000002E-4,2794.5546875,309166.85644324194
RI,1.6114500000000002E-4,2794.5546875,301140.4261907619
RI,1.41075E-4,2794.53125,311289.997179362
RI,2.91721E-4,2794.53125,283846.665978712
RI,1.3500300000000002E-4,2794.5546875,281553.677709952
RI,1.33938E-4,2794.53125,301140.4261907619
RI,2.075E-4,2794.5234375,283846.665978712
RI,3.39246E-4,2794.53125,309166.85644324194
RI,1.38361E-4,2794.53125,283846.665978712
RI,3.0792300000000004E-4,2794.5546875,345065.241140512
RI,2.0224000000000002E-4,2794.5546875,301140.42619075195
RI,1.33229E-4,2794.53125,298930.962632412
RI,3.1282900000000004E-4,2794.5546875,313609.48781259195
RI,1.49557E-4,2794.53125,309166.85644324194
RI,1.3149800000000002E-4,2794.5546875,283846.665978712
RI,3.33179E-4,2794.53125,321743.552241552
RI,2.53811E-4,2794.53125,308363.47575918207
RI,2.2875E-4,2794.53125,321427.68933745194
RI,1.46736E-4,2794.53125,281553.677709952
RI,1.5336900000000002E-4,2794.5546875,309742.09118363203
RI,2.5682900000000003E-4,2794.5546875,311289.997179362
RI,1.2005400000000001E-4,2794.5546875,345065.241140512
RI,1.17664E-4,2794.53125,283846.665978712
RI,2.50154E-4,2794.53125,283846.66597871203
RI,1.1821800000000001E-4,2794.5546875,283846.665978712
RI,2.81493E-4,2794.53125,321743.552241552
RI,2.1247800000000002E-4,2794.5546875,321743.552241552
RI,3.09836E-4,2794.53125,281553.677709952
RI,2.33307E-4,2794.53125,298930.962632412
RI,2.34817E-4,2794.53125,309166.856443242
RI,1.1761100000000001E-4,2794.5546875,283846.665978712
RI,2.5559300000000003E-4,2794.5546875,309166.85644324194
RI,2.9150700000000004E-4,2794.5546875,321427.68933745194
RI,4.3265800000000004E-4,2794.5546875,308363.47575918207
RI,3.0166000000000004E-4,2794.5546875,283846.66597871203
RI,1.1369800000000001E-4,2794.5546875,301140.42619075195
RI,1.17404E-4,2794.53125,301140.42619075195
RI,3.1846900000000004E-4,2794.5546875,321427.68933745194
RI,1.17072E-4,2794.53125,309166.85644324194
RI,1.5161500000000002E-4,2794.5546875,309166.85644324194
RI,2.13224E-4,2794.53125,283846.665978712
RI,2.0713E-4,2794.53125,308363.47575918207
RI,1.1673400000000001E-4,2794.5546875,309166.85644324194
RI,2.51649E-4,2794.53125,283846.665978712
RI,2.6968900000000004E-4,2794.5546875,298930.962632412
RI,1.3466200000000002E-4,2794.5546875,308363.47575918207
RI,1.2053000000000001E-4,2794.5546875,321743.55224148196
RI,1.30578E-4,2794.53125,345065.241140512
RI,2.7803E-4,2794.53125,321743.552241552
RI,1.1913300000000001E-4,2794.5546875,298930.962632412
RI,2.8779500000000003E-4,2794.5546875,283846.66597871203
RI,1.18936E-4,2794.53125,321809.65084774204
RI,2.70745E-4,2794.53125,309166.85644324194
RI,2.09377E-4,2794.53125,308363.47575918207
RI,1.26289E-4,2794.53125,345065.241140512
RI,1.20049E-4,2794.53125,321743.55224148196
RI,2.93415E-4,2794.53125,313609.48781259195
RI,2.4269500000000002E-4,2794.5546875,283846.66597871203
RI,2.93044E-4,2794.53125,311289.997179362
RI,2.9491200000000004E-4,2794.5546875,301140.426190762
RI,1.77393E-4,2794.53125,309166.856443242
RI,2.99299E-4,2794.53125,301140.426190762
RI,1.34683E-4,2794.53125,283846.66597871203
AVG-RI,3.4470419000000004E-4,3595.4175,305169.0647987144,
