ObjectID,Name,OriginID,Destinatio,Destinat_1,Total_Leng
20718,Beecher Falls - Beecher Falls,89,172,1,      0.00000000000
20719,Beecher Falls - Guildhall,89,183,2,  59194.10046740000
20720,Beecher Falls - Island Pond,89,177,3,  60296.49210070000
20721,Beecher Falls - Norton,89,173,4,  88223.61800290000
20722,Beecher Falls - Derby Center,89,175,5,  90544.15392149999
20723,Beecher Falls - Concord,89,196,6,  96771.60442459999
20724,Beecher Falls - Lyndonville,89,191,7,  97204.32735399999
20725,Beecher Falls - Newport,89,284,8,  98077.07428340000
20726,Beecher Falls - Lyndon,89,192,9,  99959.40031560000
20727,Beecher Falls - West Burke,89,186,10, 108517.85283700000
20728,Beecher Falls - Saint Johnsbury,89,201,11, 109921.98463000001
20729,Beecher Falls - Orleans,89,179,12, 111112.36490000000
20730,Beecher Falls - North Troy,89,176,13, 116606.59571199999
20731,Beecher Falls - Danville,89,206,14, 118747.31027500000
20732,Beecher Falls - Barton,89,181,15, 119722.91272600000
20733,Beecher Falls - Barnet,89,211,16, 124763.90517899999
20734,Beecher Falls - Lowell,89,182,17, 125768.79510900000
20735,Beecher Falls - Albany,89,189,18, 130512.43088200000
20736,Beecher Falls - Cabot,89,208,19, 134631.75549300000
20737,Beecher Falls - Marshfield,89,212,20, 139098.07707900001
20738,Beecher Falls - Hardwick,89,203,21, 142959.14627699999
20739,Beecher Falls - Wells River,89,221,22, 144901.29561299999
20740,Beecher Falls - Plainfield,89,218,23, 148566.94430300000
20741,Beecher Falls - Wolcott,89,199,24, 152071.28185100001
20742,Beecher Falls - Newbury,89,225,25, 152959.83837000001
20743,Beecher Falls - North Wolcott,89,194,26, 154538.81816200001
20744,Beecher Falls - Hyde Park,89,197,27, 156277.73083099999
20745,Beecher Falls - Morrisville,89,204,28, 160113.81769800000
20746,Beecher Falls - Johnson,89,195,29, 161126.02202000000
20747,Beecher Falls - Richford,89,178,30, 161165.40467200000
20748,Beecher Falls - Bradford,89,229,31, 161788.83871300000
20749,Beecher Falls - Montpelier,89,222,32, 165356.37656500001
20750,Beecher Falls - West Topsham,89,226,33, 169437.67410300000
20751,Beecher Falls - Fairlee,89,231,34, 173176.83340100001
20752,Beecher Falls - Stowe,89,210,35, 173833.27231000000
20753,Beecher Falls - Chelsea,89,230,36, 173901.03998400000
20754,Beecher Falls - Jeffersonville,89,198,37, 174460.47572600000
20755,Beecher Falls - Sheldon,89,187,38, 174903.35011400000
20756,Beecher Falls - Cambridge,89,200,39, 178435.03208999999
20757,Beecher Falls - Highgate Center,89,184,40, 180501.11741499999
20758,Beecher Falls - South Barre,89,227,41, 181423.58529799999
20759,Beecher Falls - Barre,89,224,42, 182024.47454900001
20760,Beecher Falls - Waterbury,89,220,43, 188393.12509799999
20761,Beecher Falls - Saint Albans,89,190,44, 190795.80366300000
20762,Beecher Falls - Fairfax,89,202,45, 191750.50078900001
20763,Beecher Falls - Jericho,89,213,46, 199467.88770200001
20764,Beecher Falls - Wilder,89,240,47, 204729.99796800001
20765,Beecher Falls - Enosburg Falls,89,180,48, 204752.41389000000
20766,Beecher Falls - Northfield,89,228,49, 205563.23107899999
20767,Beecher Falls - White River Junction,89,241,50, 206458.94621500000
20768,Beecher Falls - Richmond,89,219,51, 209061.27484999999
20769,Beecher Falls - Essex Junction,89,214,52, 209790.50741399999
20770,Beecher Falls - Milton,89,207,53, 210260.08921100001
20771,Beecher Falls - Winooski,89,215,54, 216538.67514400001
20772,Beecher Falls - Hartland,89,245,55, 218289.66751200001
20773,Beecher Falls - South Burlington,89,216,56, 219126.83251700000
20774,Beecher Falls - Burlington,89,217,57, 221719.01264400000
20775,Beecher Falls - East Randolph,89,234,58, 223440.97953600000
20776,Beecher Falls - Windsor,89,247,59, 224786.70832999999
20777,Beecher Falls - Shelburne,89,223,60, 229657.69017799999
20778,Beecher Falls - South Hero,89,209,61, 231457.85148799999
20779,Beecher Falls - Ascutney,89,251,62, 233375.58380299999
20780,Beecher Falls - Bethel,89,239,63, 236898.73520000000
20781,Beecher Falls - Grand Isle,89,205,64, 242830.47567499999
20782,Beecher Falls - Bristol,89,232,65, 247079.86823699999
20783,Beecher Falls - Randolph,89,235,66, 247871.03739899999
20784,Beecher Falls - Vergennes,89,233,67, 247978.39635299999
20785,Beecher Falls - North Hero,89,193,68, 252797.58884000001
20786,Beecher Falls - Hancock,89,237,69, 254026.25008800000
20787,Beecher Falls - Saxtons River,89,262,70, 263286.84493199998
20788,Beecher Falls - Grafton,89,261,71, 266274.84614799998
20789,Beecher Falls - Bellows Falls,89,260,72, 266378.22369800002
20790,Beecher Falls - North Westminster,89,263,73, 266735.30559399998
20791,Beecher Falls - Middlebury,89,236,74, 268221.50253400003
20792,Beecher Falls - Alburg,89,185,75, 272614.18617499998
20793,Beecher Falls - Chester,89,258,76, 273473.39801399998
20794,Beecher Falls - East Middlebury,89,238,77, 274800.37751399999
20795,Beecher Falls - Shoreham,89,242,78, 279624.24322100001
20796,Beecher Falls - Putney,89,269,79, 283872.90366800001
20797,Beecher Falls - Springfield,89,257,80, 283932.23152500001
20798,Beecher Falls - Rutland,89,248,81, 285214.24867900001
20799,Beecher Falls - Swanton,89,188,82, 285628.56496100000
20800,Beecher Falls - Brandon,89,243,83, 289550.82418000000
20801,Beecher Falls - Proctor,89,246,84, 291698.70056700002
20802,Beecher Falls - West Rutland,89,249,85, 292113.84278100001
20803,Beecher Falls - Perkinsville,89,253,86, 292927.77403799997
20804,Beecher Falls - Woodstock,89,244,87, 299946.04575599998
20805,Beecher Falls - Wallingford,89,254,88, 300814.67512299999
20806,Beecher Falls - Brattleboro,89,273,89, 301591.06703899999
20807,Beecher Falls - West Brattleboro,89,275,90, 301620.15648599999
20808,Beecher Falls - Castleton,89,250,91, 303982.14921900001
20809,Beecher Falls - Newfane,89,270,92, 310322.81015999999
20810,Beecher Falls - Ludlow,89,255,93, 311284.38485500001
20811,Beecher Falls - Fair Haven,89,252,94, 312630.78200299997
20812,Beecher Falls - Manchester Center,89,266,95, 321386.48280400003
20813,Beecher Falls - Poultney,89,256,96, 322618.89583200001
20814,Beecher Falls - Manchester,89,268,97, 324935.99427199998
20815,Beecher Falls - Wilmington,89,276,98, 326038.32557500002
20816,Beecher Falls - Westminster,89,265,99, 328665.39419500000
20817,Beecher Falls - Jamaica,89,267,100, 330542.28748300002
20818,Beecher Falls - Dorset,89,264,101, 331623.50868099998
20819,Beecher Falls - West Dover,89,272,102, 332980.39206400001
20820,Beecher Falls - Jacksonville,89,278,103, 333951.70242900000
